k,eval_loss,eval_blue,eval_chrf,epoch
1,0.46386656165122986,2.5393,34.8488,5.42
1,0.4656979441642761,2.5772,34.8308,5.51
1,0.4628739655017853,2.6488,35.0578,5.6
1,0.4641461968421936,2.3948,35.3434,5.69
1,0.4624977707862854,2.4783,35.041,5.79
1,0.46360069513320923,2.4109,35.3062,5.88
1,0.46418488025665283,2.3972,35.2288,5.97
1,0.46350324153900146,2.3785,35.2198,6.06
1,0.4646854102611542,2.3649,35.3071,6.15
100,0.7130394577980042,0.5664,15.3281,0.09
100,0.6644061207771301,0.5011,17.8319,0.18
100,0.6322686672210693,0.7499,20.546,0.27
100,0.610963761806488,0.6447,21.7818,0.36
100,0.593217134475708,0.6325,21.8996,0.45
100,0.5751286745071411,0.823,23.0467,0.54
100,0.5634360313415527,0.9142,23.9647,0.63
100,0.5500892400741577,1.2676,25.1012,0.72
100,0.5407416224479675,1.362,26.5235,0.81
100,0.5320138931274414,1.4033,27.0786,0.9
100,0.5243735909461975,1.6924,28.1987,0.99
100,0.5183138847351074,1.6076,28.5396,1.08
100,0.5122859477996826,1.5868,29.0452,1.18
100,0.5070867538452148,1.8836,29.6707,1.27
100,0.5024423599243164,1.9174,30.0844,1.36
100,0.49917417764663696,1.6985,30.5366,1.45
100,0.495947927236557,1.7812,30.7742,1.54
100,0.49137061834335327,1.851,31.0457,1.63
100,0.48726779222488403,1.7383,31.2404,1.72
100,0.4863201379776001,2.0522,31.7297,1.81
100,0.4846280515193939,1.9814,31.7284,1.9
100,0.4818226099014282,1.9542,32.1488,1.99
100,0.4803251326084137,2.2159,32.7247,2.08
100,0.4795030653476715,2.0941,32.5192,2.17
100,0.47577598690986633,1.9416,32.9199,2.26
100,0.47444555163383484,1.9469,32.9539,2.35
100,0.4743958115577698,2.0587,33.2621,2.44
100,0.4736888110637665,2.0531,33.2864,2.53
100,0.4741096496582031,2.0979,33.4935,2.62
100,0.4719192087650299,1.9782,33.4563,2.71
100,0.4720601439476013,2.0107,33.6723,2.8
100,0.4692494571208954,2.2113,33.9029,2.89
100,0.46768423914909363,2.3772,34.0912,2.98
100,0.4689342677593231,1.8784,33.874,3.07
100,0.468140184879303,2.1814,34.0189,3.16
100,0.46890273690223694,2.0289,34.005,3.25
100,0.46769440174102783,2.0646,34.2069,3.34
100,0.46792101860046387,2.1403,34.2191,3.43
100,0.4658443331718445,2.135,34.1979,3.53
100,0.4667733907699585,2.1665,34.2284,3.62
100,0.46399450302124023,2.3739,34.5252,3.71
100,0.46505534648895264,2.2095,34.4992,3.8
100,0.4656330943107605,2.3843,34.9056,3.89
100,0.46393805742263794,2.5022,34.4649,3.98
100,0.4660883843898773,2.4062,34.6327,4.07
100,0.4652264714241028,2.2463,34.77,4.16
100,0.46524956822395325,2.3644,34.9775,4.25
100,0.46496617794036865,2.441,34.5583,4.34
100,0.4636659622192383,2.2514,34.7807,4.43
100,0.4624592363834381,2.3577,35.1427,4.52
100,0.46583789587020874,2.3516,34.8672,4.61
100,0.46617093682289124,2.276,34.904,4.7
100,0.4642464816570282,2.1574,35.0758,4.79
100,0.4631986916065216,2.332,34.9849,4.88
100,0.462969571352005,2.2605,35.2267,4.97
100,0.4640713930130005,2.3094,35.0932,5.06
100,0.4659222662448883,2.345,35.1427,5.15
100,0.465553879737854,2.5004,35.2546,5.24
100,0.46383967995643616,2.4164,35.0341,5.33
100,0.46386656165122986,2.5393,34.8488,5.42
100,0.4656979441642761,2.5772,34.8308,5.51
100,0.4628739655017853,2.6488,35.0578,5.6
100,0.4641461968421936,2.3948,35.3434,5.69
100,0.4624977707862854,2.4783,35.041,5.79
100,0.46360069513320923,2.4109,35.3062,5.88
100,0.46418488025665283,2.3972,35.2288,5.97
100,0.46350324153900146,2.3785,35.2198,6.06
100,0.4646854102611542,2.3649,35.3071,6.15
5,9.484500885009766,0.9353,11.8318,0.09
5,9.073860168457031,0.9747,11.792,0.18
5,8.728489875793457,0.9526,11.7495,0.27
5,8.413873672485352,0.9341,11.6651,0.36
5,8.120527267456055,0.9309,11.6082,0.45
5,7.8409600257873535,0.802,11.5747,0.54
